,Dummy Classifier,Decision Tree,RBF SVM,Random Forest,Logistic Regression
fit_time,0.021167945861816407,0.34566726684570315,29.887989950180053,2.5525050163269043,0.48887290954589846
score_time,0.014874458312988281,0.014755678176879884,18.625090217590333,0.16533679962158204,0.013801383972167968
test_accuracy,0.7782083333333334,0.7322083333333333,0.7752083333333334,0.8147500000000001,0.7749583333333334
test_f1,0.0,0.3973746399041019,0.5311587440900494,0.4510178798375513,0.5316157250271581
test_recall,0.0,0.3982696177062374,0.574110981679551,0.34322602280348763,0.575805358466589
test_precision,0.0,0.3967079048284362,0.4944657710816373,0.6592193196962441,0.49395432996855587
test_roc_auc,0.5,0.6128864548341718,0.7653693148387845,0.7662404766239438,0.7683648179006803
